1	1	2024-11-01	5
2	2	2024-11-02	10
3	3	2024-11-03	15
4	4	2024-11-04	20
5	5	2024-11-05	25
6	6	2024-11-06	30
7	7	2024-11-07	35
8	8	2024-11-08	40
9	9	2024-11-09	45
10	10	2024-11-10	50
11	11	2024-11-11	55
12	12	2024-11-12	60
13	13	2024-11-13	65
14	14	2024-11-14	70
15	15	2024-11-15	75
16	16	2024-11-16	80
17	17	2024-11-17	85
18	18	2024-11-18	90
19	19	2024-11-19	95
20	20	2024-11-20	100
21	21	2024-11-21	105
22	22	2024-11-22	110
23	23	2024-11-23	115
24	24	2024-11-24	120
25	25	2024-11-25	125
26	26	2024-11-26	130
27	27	2024-11-27	135
28	28	2024-11-28	140
29	29	2024-11-29	145
30	30	2024-11-30	150
